,United States,"New York, NY","Los Angeles-Long Beach-Anaheim, CA","Chicago, IL","Dallas-Fort Worth, TX","Philadelphia, PA","Houston, TX","Washington, DC","Miami-Fort Lauderdale, FL","Atlanta, GA","Boston, MA","San Francisco, CA","Detroit, MI","Riverside, CA","Phoenix, AZ","Seattle, WA","Minneapolis-St Paul, MN","San Diego, CA","St. Louis, MO","Tampa, FL","Baltimore, MD","Denver, CO","Pittsburgh, PA","Portland, OR","Charlotte, NC","Sacramento, CA","San Antonio, TX","Orlando, FL","Cincinnati, OH","Cleveland, OH","Kansas City, MO","Las Vegas, NV","Columbus, OH","Indianapolis, IN","San Jose, CA","Austin, TX","Virginia Beach, VA","Nashville, TN","Providence, RI","Milwaukee, WI","Jacksonville, FL","Memphis, TN","Oklahoma City, OK","Louisville-Jefferson County, KY","Hartford, CT","Richmond, VA","New Orleans, LA","Buffalo, NY","Raleigh, NC","Birmingham, AL","Salt Lake City, UT","Rochester, NY","Grand Rapids, MI","Tucson, AZ","Tulsa, OK","Fresno, CA","Worcester, MA","Stamford, CT","Albuquerque, NM","Albany, NY","Omaha, NE","New Haven, CT","Bakersfield, CA","Knoxville, TN","Greenville, SC","Ventura, CA","Allentown, PA","El Paso, TX","Baton Rouge, LA","Dayton, OH","McAllen, TX","Columbia, SC","Greensboro, NC","Akron, OH","North Port-Sarasota-Bradenton, FL","Little Rock, AR","Stockton, CA","Charleston, SC","Syracuse, NY","Colorado Springs, CO","Winston-Salem, NC","Wichita, KS","Springfield, MA","Fort Myers, FL","Boise City, ID","Toledo, OH","Madison, WI","Lakeland, FL","Ogden, UT","Daytona Beach, FL","Des Moines, IA","Jackson, MS","Augusta, GA","Harrisburg, PA","Provo, UT","Fort Collins, CO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NY,CA,IL,TX,PA,TX,DC,FL,GA,MA,CA,MI,CA,AZ,WA,MN,CA,MO,FL,MD,CO,PA,OR,NC,CA,TX,FL,OH,OH,MO,NV,OH,IN,CA,TX,VA,TN,RI,WI,FL,TN,OK,KY,CT,VA,LA,NY,NC,AL,UT,NY,MI,AZ,OK,CA,MA,CT,NM,NY,NE,CT,CA,TN,SC,CA,PA,TX,LA,OH,TX,SC,NC,OH,FL,AR,CA,SC,NY,CO,NC,KS,MA,FL,ID,OH,WI,FL,UT,FL,IA,MS,GA,PA,UT,CO
1/31/18,74,99,47,82,61,77,74,67,88,62,49,30,55,54,59,37,63,46,70,58,74,39,98,54,51,43,75,62,60,86,60,59,43,63,24,63,100,45,69,61,70,65,68,59,105,69,78,64,46,79,45,71,47,62,89,41,58,119,73,92,59,95,73,78,63,50,88,105,71,60,90,90,92,83,85,79,40,71,98,43,93,71,71,92,52,75,79,68,43,72,68,86,83,79,49,62
2/28/18,73,96,44,79,58,83,71,68,87,58,47,28,54,52,59,33,59,42,70,57,76,35,101,52,49,40,76,59,57,87,61,60,42,61,22,59,104,43,68,58,66,67,69,59,95,63,79,65,42,74,41,68,47,60,88,40,56,100,73,92,51,80,69,78,64,46,92,98,75,60,87,91,96,83,87,86,37,68,103,41,95,77,68,89,52,76,77,61,41,73,66,88,84,81,50,62
3/31/18,67,87,39,66,53,78,66,62,81,50,40,23,49,49,57,25,51,39,63,54,72,28,98,45,41,34,73,54,50,83,54,57,37,56,20,51,97,39,64,50,62,65,65,49,87,48,75,57,35,67,34,62,41,57,82,37,52,101,66,84,38,93,62,72,59,40,86,97,68,53,97,77,94,79,88,95,32,63,100,36,93,73,63,87,46,73,67,59,37,69,61,86,70,73,46,55
4/30/18,59,76,34,53,45,68,57,51,80,41,30,19,38,44,54,18,40,36,54,50,62,22,86,35,35,28,67,46,41,75,47,58,29,49,17,40,89,34,56,41,58,53,60,41,67,35,70,46,28,56,24,49,34,52,76,33,41,78,57,75,33,74,54,63,51,36,85,96,69,47,106,77,91,74,87,77,28,56,91,29,83,69,54,87,36,63,59,53,27,64,53,79,50,61,40,46
5/31/18,53,71,32,45,41,60,50,45,79,36,25,18,30,42,54,16,36,37,48,46,55,20,75,28,32,25,62,42,35,67,39,51,23,39,16,35,87,33,48,36,56,49,59,36,56,34,67,37,26,49,23,43,28,48,72,32,32,64,47,63,33,60,48,56,44,34,69,90,75,39,100,76,77,67,85,70,26,55,79,25,74,58,46,88,30,52,52,50,25,58,46,75,46,51,36,39
6/30/18,50,70,32,43,39,56,47,39,80,34,23,19,26,41,51,15,34,38,43,44,50,19,64,26,32,24,58,41,31,61,36,43,20,32,16,33,86,35,42,32,55,43,62,35,46,35,68,33,25,47,22,36,24,46,67,31,27,59,41,55,35,52,47,52,39,35,70,89,79,34,91,75,66,61,83,63,26,52,67,21,67,49,39,88,26,43,51,49,24,59,44,69,41,46,30,36
7/31/18,48,70,34,44,40,54,46,38,78,34,24,21,26,41,51,17,34,41,41,44,50,20,58,29,33,26,57,41,29,58,34,30,21,26,19,35,82,36,41,31,54,46,56,35,47,38,67,31,26,45,25,37,22,44,65,33,27,61,42,51,34,50,46,49,38,36,69,80,68,32,84,59,59,56,83,66,27,52,62,22,62,46,38,88,26,39,48,47,23,58,44,66,42,43,29,34
8/31/18,49,74,36,46,42,53,49,37,76,35,28,23,28,44,50,21,36,43,42,45,49,24,54,32,35,30,56,42,31,57,36,32,22,28,23,39,78,38,45,30,55,45,57,34,50,39,67,33,29,47,25,38,24,43,65,33,30,67,45,53,37,54,47,49,39,39,75,79,56,34,90,60,54,54,82,64,29,55,60,26,60,48,41,86,25,40,50,46,23,63,45,64,51,42,28,36
