Cost of Living Index,mortgage_rate,date,nielsen_rank,hotness_rank,hotness_rank_yy,supply_score,demand_score,median_days_on_market_yy,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price_yy,city_name,state_abb,city_state,tax_rank,Effective_Total_Tax_Med_US_Household,Annual_Total_Tax_Med_US_Household,Per_Diff_State_US_Avg,Annual_Total_Tax_State_Household,Adjusted_Overall_Rank
99.2,2.18,2021-07-01,1333,958,-207,31.83259353,56.1192137,-0.385714286,0.279069767,1.0784,0.034750366,richmond,va,richmond_va,25,10.73%,"$6,783 ",-0.66%,"$7,955 ",26
89.6,2.18,2021-07-01,935,1343,80,14.20418516,30.6911858,-0.595419847,0.6,0.7843,-0.155555556,lafayette,la,lafayette_la,23,10.63%,"$6,723 ",-1.54%,"$5,239 ",19
94.5,2.18,2021-07-01,378,463,272,85.22511097,38.87127457,-0.542372881,0.257142857,0.8627,0.169683952,yuma,az,yuma_az,16,9.52%,"$6,021 ",-11.83%,"$5,814 ",14
102.3,2.18,2021-07-01,864,1151,-785,35.1934052,32.84717819,0,0.205882353,0.8039,0.110882795,faribault,mn,faribault_mn,29,11.27%,"$7,128 ",4.39%,"$7,774 ",29
100.1,2.18,2021-07-01,394,164,-116,82.37159163,79.58148383,-0.348837209,-0.027027027,1.4118,-0.125039075,chicago,il,chicago_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
93.9,2.18,2021-07-01,436,7,-1,97.97083069,98.03424223,-0.515151515,0.054545455,2.2745,-0.003001,columbus,oh,columbus_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
88.6,2.18,2021-07-01,676,1339,-455,35.1934052,10.33608117,-0.096774194,0.388888889,0.4902,0.032907261,beaumont,tx,beaumont_tx,40,12.79%,"$8,083 ",18.37%,"$7,212 ",34
89.1,2.18,2021-07-01,642,479,-25,62.84083703,60.36778694,-0.392857143,0.266666667,1.1176,0.080897076,dalton,ga,dalton_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
90.8,2.18,2021-07-01,653,1218,67,18.4527584,42.1686747,-0.358974359,1,0.902,0.022900763,indiana,pa,indiana_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
90.4,2.18,2021-07-01,296,892,-129,35.1934052,57.19720989,-0.317073171,0.571428571,1.0784,0.062168072,fayetteville,ar,fayetteville_ar,30,11.28%,"$7,134 ",4.48%,"$5,217 ",18
96,2.18,2021-07-01,170,757,-721,50.15852885,51.87064046,0,-0.2,1.0196,-0.077644008,reading,pa,reading_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
92.9,2.18,2021-07-01,120,989,-365,62.84083703,22.19403932,-0.218390805,0.307692308,0.6667,-0.1409375,omaha,ne,omaha_ne,46,13.27%,"$8,386 ",22.82%,"$7,214 ",38
120.1,2.18,2021-07-01,180,785,-729,86.30310717,13.950539,0.405405405,-0.450980392,0.549,0.027635664,washington,dc,washington_dc,14,9.04%,"$5,715 ",-16.30%,"$9,563 ",42
,2.18,2021-07-01,1031,1149,100,58.14838301,10.082435,-0.448818898,0.666666667,0.4902,0.24567474,pahrump,nv,pahrump_nv,4,7.94%,"$5,017 ",-26.53%,"$5,180 ",10
93.1,2.18,2021-07-01,292,709,-203,42.23208624,62.39695625,-0.277777778,0.487179487,1.1373,-0.087889299,pittsburgh,pa,pittsburgh_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
86.3,2.18,2021-07-01,675,219,461,62.84083703,91.50285352,-0.558441558,0.660377358,1.7255,0.048632219,wilson,nc,wilson_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
100.7,2.18,2021-07-01,13,912,135,87.31769182,3.804692454,-0.494949495,0.333333333,0.3137,0.208211144,las vegas,nv,las vegas_nv,4,7.94%,"$5,017 ",-26.53%,"$5,180 ",10
91.3,2.18,2021-07-01,743,1138,76,14.20418516,55.23145212,-0.333333333,1,1.0588,0.06223176,marquette,mi,marquette_mi,38,12.22%,"$7,728 ",13.18%,"$6,388 ",25
89.8,2.18,2021-07-01,735,39,333,89.22003805,93.34178821,-0.654676259,0.068181818,1.8431,-0.121706399,chillicothe,oh,chillicothe_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
87.2,2.18,2021-07-01,409,1564,-7,0.380469245,1.648700063,0.936305732,-0.083333333,0.2157,-0.088435374,davenport,ia,davenport_ia,44,13.18%,"$8,334 ",22.05%,"$7,053 ",35
128,2.18,2021-07-01,156,1485,-332,16.7406468,3.614457831,-0.120689655,0,0.3137,0.12687813,new york,ny,new york_ny,49,14.08%,"$8,900 ",30.34%,"$11,024 ",49
91.9,2.18,2021-07-01,821,208,941,93.97590361,61.82625238,-0.704225352,1.230769231,1.1373,0.12376519,columbia,sc,columbia_sc,12,8.99%,"$5,683 ",-16.78%,"$4,779 ",11
124.6,2.18,2021-07-01,10,1113,-270,70.7038681,2.155992391,-0.088235294,0.333333333,0.2353,0.040816327,seattle,wa,seattle_wa,37,12.02%,"$7,601 ",11.33%,"$9,732 ",39
92.4,2.18,2021-07-01,615,1075,-993,28.66201649,48.31959417,-0.043478261,-0.295774648,0.9804,0.177151179,cincinnati,oh,cincinnati_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
95.8,2.18,2021-07-01,217,1233,-24,53.96322131,5.960684845,-0.433070866,0.117647059,0.3725,0.150822595,houston,tx,houston_tx,40,12.79%,"$8,083 ",18.37%,"$7,212 ",34
86.7,2.18,2021-07-01,748,460,283,58.14838301,66.07482562,-0.444444444,0.648648649,1.1961,0.165501166,tulsa,ok,tulsa_ok,31,11.44%,"$7,235 ",5.95%,"$5,673 ",22
88.5,2.18,2021-07-01,487,378,-75,70.7038681,61.88966392,-0.340425532,0.380952381,1.1373,0.063859981,goldsboro,nc,goldsboro_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
95.7,2.18,2021-07-01,415,979,-620,42.23208624,44.00760938,-0.242718447,0.068181818,0.9216,0.039933444,chambersburg,pa,chambersburg_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
90.9,2.18,2021-07-01,629,516,618,66.70894103,53.26569436,-0.56462585,0.892857143,1.0392,0.195293146,albertville,al,albertville_al,15,9.10%,"$5,754 ",-15.73%,"$4,508 ",7
,2.18,2021-07-01,919,152,-125,70.7038681,92.39061509,-0.215189873,0.197368421,1.7843,0.212852442,louisville/jefferson county,ky,louisville/jefferson county_ky,39,12.48%,"$7,887 ",15.51%,"$6,115 ",30
99,2.18,2021-07-01,441,762,-70,95.94166138,5.516804058,-0.375,0.055555556,0.3725,0.069551058,virginia beach,va,virginia beach_va,25,10.73%,"$6,783 ",-0.66%,"$7,955 ",26
93.1,2.18,2021-07-01,543,1065,194,41.15409004,36.9055168,-0.487179487,0.791666667,0.8431,0.287888994,sebring,fl,sebring_fl,6,8.23%,"$5,204 ",-23.79%,"$4,820 ",5
110.1,2.18,2021-07-01,14,1488,18,13.82371592,6.214331008,-0.46,0.727272727,0.3725,0.130298273,miami,fl,miami_fl,6,8.23%,"$5,204 ",-23.79%,"$4,820 ",5
115,2.18,2021-07-01,259,871,-258,78.31325301,15.59923906,-0.216216216,0.304347826,0.5882,0.130113011,bremerton,wa,bremerton_wa,37,12.02%,"$7,601 ",11.33%,"$9,732 ",39
,2.18,2021-07-01,1134,1409,-17,6.404565631,27.96448954,-0.516014235,0.407407407,0.7451,0.103529412,taos,nm,taos_nm,20,10.54%,"$6,663 ",-2.42%,"$5,257 ",20
86.1,2.18,2021-07-01,672,1489,51,5.707038681,14.2675967,-0.501754386,1.071428571,0.5686,0.097522734,opelousas,la,opelousas_la,23,10.63%,"$6,723 ",-1.54%,"$5,239 ",19
83.1,2.18,2021-07-01,905,822,-46,15.02853519,82.68864933,-0.566666667,0.070422535,1.4902,0.350574713,roanoke rapids,nc,roanoke rapids_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
94,2.18,2021-07-01,700,644,376,35.1934052,74.8890298,-0.557894737,0.7,1.3333,0.079536434,seneca,sc,seneca_sc,12,8.99%,"$5,683 ",-16.78%,"$4,779 ",11
