RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
102001,0,United States,Country,,6333.3333,7000,8000,8666.6667,8666.6667,8030,7530,7230,6866.6667,6166.6667,5800,5800,6333.3333,7000,8000,8666.6667,8633.3333,7966.6667,7300,6666.6667,6300,5650,5483.3333,5883.3333,6661.6667,6828.3333,6628.3333,6866.6667,7900,8900,9533.3333,9800,9633.3333,8933.3333,8333.3333,8666.6667,9366.6667,10000,10000,10000,10000
394913,1,"New York, NY",Msa,NY,15133.3333,16366.6667,17733.3333,17733.3333,16700,15300,15300,15600,15633.3333,15266.6667,14966.6667,14966.6667,15000,15666.6667,16000,16333.3333,15666.6667,15000,14966.6667,14966.6667,15300,14666.6667,14666.6667,14666.6667,15000,13983.3333,13816.6667,13816.6667,16500,18333.3333,20000,20000,20000,19999.6667,19999.6667,19999.6667,20000,20300,20466.6667,20466.6667,20166.6667
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,19413,19450,20000,20000,19666.6667,18300,16966.6667,15966.6667,15700,15366.6667,15033.3333,15000,15033.3333,16366.6667,17716.6667,19349.6667,19683,19666.3333,19333.3333,19300,19598.1667,18264.8333,17964.8333,18666.6667,21000,20914.8333,19948.1667,19281.5,19983.3333,21950,23283.3333,24333.3333,24000,22666.6667,23000,23333.3333,26647.3333,28314,31647.3333,32099.6667,32099.6667
394463,3,"Chicago, IL",Msa,IL,6300,7633.3333,8633.3333,8666.6667,8000,7000,6333.3333,5833.3333,5500,5166.6667,5033.3333,5366.3333,6033,6999.6667,8000,8333.3333,7833.3333,6800,6133.3333,5666.6667,5366.6667,5033.3333,5000,5366.6667,5700,5805.3333,5572,5938.6667,7166.6667,8366.6667,9000,8666.6667,7666.6667,6366.6667,5700,6700,8333.3333,9666.6667,10000,10000,10000
394514,4,"Dallas-Fort Worth, TX",Msa,TX,7166.6667,7833.3333,8333.3333,8000,7666.6667,6366.6667,5832,5365.3333,5335.3333,5203.3333,5036.6667,5233.3333,5533.3333,5866.6667,6000,6033.3333,5833.3333,5533.3333,5233.3333,5066.6667,5033.3333,5000,5000,5033.3333,5318.5,5318.5,5288.5,5306.8333,5640.1667,5970.1667,6000,6666.6667,6700,7033.3333,7033.3333,7666.6667,8666.6667,9333.3333,10000,10000,10000
394974,5,"Philadelphia, PA",Msa,PA,5933.3333,5966.6667,7000,8300,8633.3333,7780.8333,7147.5,7447.5,7300,6600,5966.6667,5800,5833.3333,6500,7666.6667,8692.3333,8492.3333,7825.6667,7500,7700,7533.3333,6833.3333,6500,7633.3333,8466.6667,7833.3333,6533.3333,7033.3333,8666.6667,10000,10000,10000,10000,9966.6667,9966.6667,9966.6667,10000,10000,10000,10000,10000
394692,6,"Houston, TX",Msa,TX,8933.3333,9366.6667,9500,9633.3333,9333.3333,8833.3333,8333.3333,8000,7666.6667,7333.3333,7001.6667,7001.6667,7168,7833,8166.3333,8251.5,7409.8333,6743.1667,5858.3333,5402,5402,5402,5433.3333,5800,6433.3333,6733.3333,6400,6566.6667,7200,7500,7666.6667,8000,8666.6667,8666.3333,8333,7999.6667,8666.6667,9333.3333,10000,10000,10000
395209,7,"Washington, DC",Msa,DC,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000.3333,10000.6667,10000.6667,10000.3333,10000,10333.3333,10366.6667,10366.6667,10033.3333,10000,10000,10000,10000,10000,10490,11564,12564,12907.3333
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9966.6667,9666.6667,9666.6667,9666.6667,9963.3333,9963.3333,9996.6667,10000,10000,10000,10000,10000,10000,10000,10033.3333,10166.6667
394347,9,"Atlanta, GA",Msa,GA,7333.1667,8366.5,9233.3333,9266.6667,8733.3333,7700,6666.6667,6166.6667,5666.6667,5333.3333,5000,5000,5033.3333,5200,5533.3333,5833.3333,5966.6667,5666.6667,5333.3333,5033.3333,5000,5000,5000,5333.3333,5966.6667,6266.6667,6266.6667,6266.6667,6966.6667,7510.8333,8244.1667,8610.8333,9366.6667,8966.6667,8616.8333,8650.1667,9350.1667,10000,10000,10300,10300
394404,10,"Boston, MA",Msa,MA,11633.3333,13466.6667,15283.3333,15316.6667,14816.6667,13033,12733,12733,12700,11333.3333,10000,10000,11333.3333,13166.6667,14866.6667,15200,15000,13633.3333,13633.3333,13633.3333,13600,11933.3333,10600,11966.6667,13633.3333,14666.6667,14666.6667,16200,18200,19866.6667,20000,20000,18666.6667,16700,15066.6667,16100,17733.3333,19366.6667,19666.6667,20000,20000
395057,11,"San Francisco, CA",Msa,CA,20666.6667,24666.6667,27333.3333,27333.3333,25333.3333,22333.3333,20333.3333,20666.6667,20666.6667,20666.6667,19668.3333,19335,19335,19666.6667,20333.3333,20333.3333,20333.3333,20000,20000,20000,20000,18333.3333,17000,17000,20333.3333,21666.6667,23000,23000,25333.3333,25666.6667,27333.3333,28333.3333,30000,28033.3333,26516.6667,28591.6667,33225,39741.6667,41000,43666.6667,38666.6667
394532,12,"Detroit, MI",Msa,MI,5333.3333,6000,7500,8533.3333,8833.3333,7966.6667,6900,5966.6667,5366.6667,5066.6667,5033.3333,5000,5033.3333,5700,6700,7833.3333,7833.3333,7166.6667,6300,5666.6667,5333.3333,5033.3333,5000,5000,5000,5000,5600,6800,8316.8333,9083.5,8916.8333,8400,7700,7000,6500,6750,8083.3333,9250,10000,10000,10000
395025,13,"Riverside, CA",Msa,CA,10000,10000,10000,10000,10000,10000,9970,9970,9970,10000,10000,10000,10000,10000,9999.6667,9999.6667,9999.6667,9966.6667,9596.6667,9130,8830,8933.3333,9400,9733.3333,10000,10000,10000,10000,10000,10000,10000,10000,10030,10030,10330,10966.6667,12666.6667,14366.6667,17033.3333,17333.3333,18000
394976,14,"Phoenix, AZ",Msa,AZ,5000,5000,5000,5000,5000,5000,5000,5000,4966.6667,4600,4596.6667,4630,4996.6667,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5333.3333,5700,5700,5366.6667,5033.3333,5366.6667,5700,6333.3333,6666.6667,7000,7000,7417.5,8417.5,9417.5,10033.3333,10366.6667,11200,11166.6667
395078,15,"Seattle, WA",Msa,WA,13346.1667,16666.6667,18025,18026.6667,16360,14971.6667,14970,14970,14700,13366.6667,12516.6667,12816.6667,14150,15003.6667,15020.3333,15037,15033.3333,14683.3333,14666.6667,14666.6667,14333.3333,12766.6667,12766.6667,13450,16683.3333,16683.3333,16666.6667,15016.6667,16020,16353.3333,18003.3333,18333.3333,19000,17333.3333,17016.6667,16775,18441.6667,20741.6667,23314.8333,24964.8333,24648.1667
394865,16,"Minneapolis-St Paul, MN",Msa,MN,10000,10000,10000,10000,10000,10000,10000,10000,9966.6667,8633.3333,7966.6667,8000,9333.3333,10000,10000,10000,10000,10000,9983.3333,8983.3333,7350,5700,5366.6667,7000,8666.6667,10000,10000,10000,10000,10000,10000,10000,10000,9333.3333,9033.3333,9033.3333,9700,10000,10000,10000,10000
395056,17,"San Diego, CA",Msa,CA,13133.3333,14000,14333.3333,14667,14333.6667,13002.3333,11968.6667,10968.6667,11333.3333,11033.3333,10700,10000,10333.3333,11000,12000,12483.3333,12150,11483.3333,10966.6667,11000,11000,10700,10666.6667,12000,13666.6667,13333.3333,12333.3333,12033.3333,14033.3333,15366.6667,17333,17333,16999.6667,14300,15633.3333,18633.3333,22000,23666.6667,24000,25000,24333.3333
395121,18,"St. Louis, MO",Msa,MO,5000,5000,5033.3333,5066.6667,5066.6667,5033.3333,5000,5000,5000,5000,5000,5000,5000,5133.3333,5166.6667,5200,5100,5066.6667,5033.3333,5000,5000,5000,5000,5000,5000,5000,5033.3333,5500,6333.3333,6633.3333,6833.3333,6333.3333,6100,5466.6667,5133.3333,5033.5,5833.5,7500.1667,9166.6667,10000,10000
395148,19,"Tampa, FL",Msa,FL,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000.3333,5033.6667,5050.3333,5050,5017,5333.6667,6267,7933.3333,9266.6667,10000,10000
394358,20,"Baltimore, MD",Msa,MD,8360.6667,9134,9967,10000,10000,9976.6667,9976.6667,9976.6667,9903.3333,9106.6667,8440,8203.3333,9000,9666.6667,10000,10000,10000,10000,9970,9670,9336.6667,8033.3333,7333.3333,7633.3333,8966.6667,9933.3333,9966.6667,9966.6667,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
394530,21,"Denver, CO",Msa,CO,10000,10000,10000,10000,10000,10000,10000,10000,9991.6667,9158.3333,9125.1667,9133.5,9966.8333,10000,10000,10000,10000,9968.5,9935.1667,9268.5,8966.6667,8000,8000,8333.3333,9333.3333,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,11666.6667,15000,18300,18300,16632.5
394982,22,"Pittsburgh, PA",Msa,PA,5000,5033.3333,5200,5483.3333,5483.3333,5350,5100,5066.6667,5033.3333,5000,5000,5000,5016.6667,5050,5183.3333,5466.6667,5766.6667,5672.8333,5406.1667,5106.1667,5066.6667,5033.3333,5000,5033.3333,5333.3333,5350,6133.3333,6500,7183.3333,7066.6667,7066.6667,7033.3333,6500,5866.6667,5533.3333,5700,7333.3333,8666.6667,10000,10000,10000
394998,23,"Portland, OR",Msa,OR,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9333.3333,9333.3333,9333.3333,10000,10000,10000,10000,10000,10000,10033.3333,10333.3333,10633.3333,10600,10300,10033.3333,11700,13409.5,16442.8333,18109.5,18066.6667
394458,24,"Charlotte, NC",Msa,NC,7383.3333,8050,8733.3333,8366.6667,8166.6667,7133.3333,6483.3333,6050,5716.6667,5366.6667,5000,5000,5033.3333,5333.3333,5666.6667,5966.6667,5700,5366.6667,5033.3333,5000,5000,5000,5000,5333.3333,5666.6667,5666.6667,5366.6667,5700,6666.6667,8300,9150,9183.3333,8516.6667,8666.6667,8333.3333,9000,9000,10033.3333,10033.3333,10033.3333,10000
395045,25,"Sacramento, CA",Msa,CA,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10001,11334.3333,12871,14203.3333,14203.3333,14333.3333,15000,15666.6667,17333.6667,20000.3333,22983.6667,23150
395055,26,"San Antonio, TX",Msa,TX,5000,5000,5030,5030,5060,5030,5030,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000.3333,5000.6667,5017.3333,5050.3333,5050,5033.3333,5000,5000,6333.3333,7666.6667,9166.6667,9500
394943,27,"Orlando, FL",Msa,FL,5700,6333.3333,6333.3333,6650,6316.6667,5983.6667,5363.6667,5030.3333,5030,5000,5000,5033.3333,5066.6667,5100,5100,5399.8333,5399.8333,5666.5,5500,5500,5200,5033.3333,5000,5033.3333,5366.6667,5376.6667,5343.3333,5043.3333,5037.3333,5202.3333,5202.3333,5231.6667,5235,5202,5202,5367,6033.3333,7633.3333,8966.6667,9966.6667,10000
394466,28,"Cincinnati, OH",Msa,OH,5000,5633.3333,6466.6667,7133.3333,6833.3333,6166.6667,5633.3333,5333.3333,5166.6667,5033.3333,5000,5033.3333,5700,6733.3333,7666.6667,7966.6667,7633.3333,7183.3333,6550,5883.3333,5400,5066.6667,5066.6667,5366.6667,6400,6700,7033.3333,7000,8333.3333,9300,9966.6667,9683.3333,8850,7833.3333,7450,7483.3333,8500,9166.6667,10000,10000,10000
394475,29,"Cleveland, OH",Msa,OH,5033.3333,5166.6667,5533.3333,5866.6667,6066.6667,5733.3333,5400,5100,5066.6667,5033.3333,5000,5033.3333,5066.6667,5400,5700,6333.3333,6333.3333,6166.3333,5533,5233,5066.6667,5033.3333,5000,5133.3333,5466.6667,5666.6667,5866.6667,6041.6667,7191.6667,7691.6667,7683.3333,6633.3333,5950,5483.3333,5483.3333,5666.6667,6433.3333,7800,9133.3333,10000,10000
394735,30,"Kansas City, MO",Msa,MO,5133.3333,5800,6600,7133.3333,6800,6150,5816.6667,5516.6667,5400,5066.6667,5066.6667,5066.6667,5341.6667,5975,6575,6650,6466.6667,5866.6667,5683.3333,5333.3333,5333.3333,5166.6667,5066.6667,5366.6667,6033.3333,6166.6667,6200,6900,8066.6667,9033.3333,8666.6667,8667,8000.3333,8000.3333,7666.6667,8633.3333,9300,9966.6667,10000,10000,10000
394775,31,"Las Vegas, NV",Msa,NV,5533.6667,5833.6667,6000,6166.6667,5866.6667,5566.6667,5066.6667,5033.3333,5000,4966.6667,4966.6667,4966.6667,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5033,5349.6667,5349.6667,5316.6667,5000,5000,5000,5000.3333,5000.3333,5000.3333,5000,5000,5033.3333,6666.6667,8333.3333,9966.6667,10000,10000
