RegionID,SizeRank,RegionName,RegionType,StateName,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
102001,0,United States,Country,,200296,199407,198107,195824,193907,191715,190077,188225,186220,183325,181331,179609,179758,178130,177654,177165,176076,175101,174760,174877,175396,176787,177306,178353,177221,176414,174348,175328,176454,178261,177790,177157,176491,176214,175878,173998,172720,170973,170659,169096,168387,167775,167800,167784,167296,167183,167373,168496,170685,172609,174440,175040,175654,176293,177339,179306,180844,182378,183152,184673,186210,188429,190082,192791,193746,194858,195525,195650,196313,196426,197520,197786,197763,197806,198495,199209,201060,201288,202155,202652,203946,205257,206760,208451,210065,210953,211509,211842,211940,212937,213016,214265,215434,216649,216548,216485,217316,218940,219822,220799,221483,223111,225129,226584,227281,227549,228288,229014,229598,230281,232012,233359,235173,236066,237181,238013,238850,240244,242084,243641,244719,245188,245753,245460,245493,244562,244751,245262,246726,248868,250095,251207,251993,254541,256358,257331,257989,257294,258162,259641,262784,265178,268281,269654,269689,267385,266166,268656,276901,281924,285546,289296,291515,293968,296360,300361,305829,312538,318875
394913,1,"New York, NY",Msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355288,359197,362187,363989,362453,360062,363581,364140,368505,363649,362191,358937,358844,357423,359663,361127,365112,368476,369653,371888,369782,369059,370187,372098,372190,369716,368850,368283,370077,372061,373188,373084,373300,375864,378496,379487,379853,380542,381450,382527,380651,379096,379326,380081,381437,381842,382600,383560,384121,385149,384158,384407,384456,387054,387593,391222,392826,394602,393883,395593,397273,400607,402824,405376,408591,408778,409497,406169,405976,406154,407892,408408,409906,410363,411962,411387,412805,415908,417622,416626,415636,414837,416342,417209,416697,416034,416697,419558,420582,423841,423087,421217,420949,422740,426826,431523,434990,437294,437484,437271,433003,444490,449861,458462,466324,472705,476174,479837,485183,492040,500121,508297
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,503301,493952,484119,471479,462055,450716,442902,434461,430247,421181,418763,412855,403288,400827,403830,407907,409573,411181,411708,411672,407823,408758,404445,404691,397041,399646,394650,394998,393391,397270,396368,397146,395736,395749,393786,393037,390946,386870,385350,383970,382084,379170,374843,372848,368348,367987,368667,371585,374258,374715,376635,378862,384528,389866,397369,402981,411793,416906,421351,426673,438168,451183,461575,464524,467661,469431,473770,478295,484506,488632,493795,496021,496466,497720,497689,504378,508330,514105,515844,516642,515105,516151,520359,524956,526985,524651,526425,527194,530874,531108,533523,537150,543798,549906,551993,551650,553287,558618,563005,564187,564752,566939,572359,575717,578612,581779,582578,587423,590875,596415,599003,602888,607308,613353,615093,618766,621176,622771,629023,631972,636518,639129,642945,643544,643185,640353,642232,644125,644020,643636,641647,643050,645618,647070,648581,651733,650788,648271,645801,650630,659588,670243,676759,680199,675745,669415,668150,676784,697907,710434,722542,730851,737577,743512,752882,764099,781081,800898,817218
394463,3,"Chicago, IL",Msa,IL,257493,255357,254613,253146,250712,247834,244349,241874,238412,234657,230533,227081,228500,226455,223734,221194,218694,218046,215967,215506,214772,216084,215584,216955,215602,214434,210236,207570,207735,206287,208948,206689,206769,204074,205366,200875,196259,191036,189539,188313,186061,183494,180664,178103,176695,174983,173293,175087,177246,179575,180267,180150,179556,179775,178201,180599,180290,182366,181994,182065,184515,186638,190911,194243,196897,197731,198929,199347,200788,201690,201772,201011,199152,200290,202414,204371,206743,207297,207723,206340,205969,205923,207692,210334,212055,212552,211161,211014,210471,212033,212976,214423,214319,213125,211544,210937,213624,216383,217234,216270,215975,216378,218225,219235,221159,223153,224978,226711,227038,227182,227808,228451,228735,228468,227990,228879,230326,231990,233791,234266,233565,232496,232540,233047,232485,232010,231161,232577,232751,235288,237479,238217,237700,237698,238751,239319,239618,237305,236520,237948,239983,241714,242568,245756,250062,249489,246982,246544,254787,259685,263808,265330,267083,268068,270003,271310,272824,277971,283926
394514,4,"Dallas-Fort Worth, TX",Msa,TX,153132,152957,151831,151002,150365,150059,150036,149537,149046,148139,147782,147759,147052,147548,149040,150115,149585,149199,148794,149121,148362,148250,148650,150327,152097,151299,150544,149683,151462,152119,152233,152418,153951,155511,155214,152216,149275,148302,148760,149923,150340,151292,152214,152488,153709,154336,155834,157497,158729,159942,160291,160566,160470,161819,163292,165115,165757,167652,168366,169779,172064,174611,176343,177705,179086,180660,181156,181978,182028,181863,183011,184466,185143,185267,186446,188874,191693,192783,194136,195798,198914,201540,202886,203967,206306,208573,210632,211593,212260,213010,213860,214940,216390,217468,219425,221551,223410,225808,228347,230574,232739,235153,238481,241031,241905,243938,246368,248610,250147,251133,251571,251113,251893,253365,255270,256326,258514,259850,260615,261434,262096,263351,264621,266115,265768,264119,262798,263175,264665,265409,265832,266077,266813,268720,269493,270101,270827,270332,271596,273478,276192,279011,280845,281358,281417,278194,277300,279172,288902,293992,297966,301764,304382,307467,311702,317240,323194,331211,338239
394974,5,"Philadelphia, PA",Msa,PA,230769,231106,230190,230248,229321,227648,226123,225714,224416,222769,218990,217518,218036,217290,217280,215535,214400,213266,213344,212389,213131,214519,217772,219500,221735,219297,217642,217176,217990,221501,222096,222161,221238,220457,220836,219325,217584,214961,214559,213647,213269,210841,210552,209982,210165,209187,209654,208546,209582,211913,213932,214757,213904,213988,214462,216506,217848,219091,218035,218757,218905,219789,220633,222172,223591,223839,222850,221398,221536,222020,222279,222248,221918,221349,221042,220907,223169,223016,223421,223421,224228,224655,222563,222919,222764,223671,222544,222236,220749,222500,223489,224891,222169,220926,223527,225188,225940,226002,227421,229090,228782,228671,229510,230234,232446,233180,232684,231291,232184,233445,236559,236091,235981,233832,233737,233982,235536,235722,237455,238001,238259,238232,236212,236105,237592,240441,241269,241374,240852,242455,242269,244986,245166,247462,248883,251203,253612,250613,248665,249531,251745,254858,258140,261572,267149,268145,266547,262291,268038,272355,276407,278644,280055,280207,280913,280507,279794,281672,286261
394692,6,"Houston, TX",Msa,TX,155807,154719,153545,152621,151606,151747,151730,151117,149456,148232,147471,148070,148314,151156,153490,155413,155948,155165,154373,154617,155087,156284,157121,157009,155959,153793,152691,150942,151915,152781,153661,154515,156762,157330,158345,157432,154691,152847,151585,153038,154426,155468,157025,157094,157886,157299,156681,157501,159900,162579,163791,163659,162513,161903,163187,166290,167938,168824,169000,171505,175507,179150,180702,181146,180480,181811,181735,183287,182906,184416,186310,186531,186682,185445,187515,188981,194711,197826,200690,200742,203429,205777,207303,207810,207375,208942,210206,212082,211752,210999,210905,210052,211130,211825,213448,213752,214156,215185,216299,218768,219851,220801,220072,221798,222853,223486,223321,224833,225899,226092,225678,224815,224657,226078,229226,230696,229016,228643,229535,230891,232733,234337,235159,235034,234292,234162,233893,234351,236615,238328,238593,239116,239748,242052,243164,243546,244368,244022,244709,245924,247929,250132,251794,250595,250411,247475,248290,252079,258034,261633,264592,267707,270068,272372,275692,281098,285810,292053,296370
395209,7,"Washington, DC",Msa,DC,376088,373487,370641,365038,359299,350825,344480,339128,335853,336480,332926,330702,323866,320001,317094,317620,318570,319885,319926,317583,316221,311859,312396,312338,315898,316404,316293,316850,317503,323701,329869,337776,339813,336670,337975,337068,337897,335703,334873,335310,335907,337590,334270,332042,330136,332580,331492,333769,338342,343183,346099,346520,347348,346609,348654,351598,353459,355690,356527,360388,361561,364159,367104,368841,370414,370304,372091,372495,373619,375237,376725,374892,371734,372251,373921,378131,379415,378052,376675,375220,379517,379674,380309,381839,382851,383325,378638,376437,374155,377784,378854,382049,377877,376285,375692,375838,378605,377197,380036,378419,379828,379645,383108,382657,384883,386494,388251,386585,386058,387939,391269,392892,394138,394148,393084,393147,394808,396994,398516,400511,401818,403208,403449,404075,404295,404507,404245,405205,406564,409315,411364,411720,410298,410707,410840,410293,411434,408124,410893,415134,421920,425640,431128,435251,436703,429758,425901,429030,441205,447709,450413,452182,451762,452997,453468,455895,461409,472352,481322
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,280887,276260,269710,261298,255231,248141,241689,233235,227426,220173,214324,207519,202279,193696,190172,189210,186551,184193,179961,179398,176383,175771,172817,173183,170828,170682,166937,164965,161585,160519,161633,161810,160210,158216,157806,155644,155269,154876,155310,153334,151276,149868,149249,148815,150060,151182,153810,155166,156896,156159,157885,158654,160837,163563,166201,169159,171058,174492,177541,180609,184677,188250,191825,194553,200081,203506,204929,205988,207382,209074,208016,210579,212396,217681,220092,224476,224587,224990,227145,230479,232989,234146,236209,238826,238788,238905,238382,239565,239727,240046,239416,238347,240783,243133,246121,244643,245397,245481,247199,247447,248194,251241,254849,257729,257856,257409,257971,258734,260585,261461,264310,265346,268840,269162,268183,267632,268101,271615,272722,275459,276573,278837,279077,279022,277958,277670,279335,281475,283574,283125,284075,285735,286931,287562,287358,289477,291876,292082,294039,298573,302275,303666,303780,305180,308477,310473,311964,312038,319723,324666,327874,329294,331401,335977,341422,345392,348597,352981,358604
394347,9,"Atlanta, GA",Msa,GA,193928,191636,189475,186420,183624,180049,176838,173158,169652,167570,167139,167533,164090,160902,158993,159964,160259,159522,158781,158327,157925,153470,149975,147035,149124,151170,149826,145270,139565,138473,137113,137903,139089,143730,143260,139068,132340,128089,127849,130064,137223,141620,145199,145026,142981,141296,141603,146015,151413,155898,158654,159524,159296,159967,160494,162914,165738,167327,171863,175866,180852,182264,183706,186145,186728,186567,186632,187145,189277,191180,191579,191498,190453,192002,193025,193614,194956,195669,197104,197019,196637,197122,198652,199570,200375,201652,203227,204704,204206,205039,204786,206032,206976,208172,208025,207763,208952,209580,209661,209418,209589,209931,210355,212072,213957,215024,215752,217143,217647,217491,217862,219074,221569,222541,224535,225642,228457,230024,232278,233548,235398,237245,238968,239037,238854,240639,243403,245239,244625,246387,247164,247949,246873,250004,252908,256265,257959,257310,256708,259307,262882,264944,268334,269295,271627,267038,264205,263942,273969,278033,281804,284670,287706,290994,293671,298471,303207,311375,318510
