"RegionID","SizeRank","RegionName","RegionType","StateName","Date","MedianDaystoPending"
394913,1,"New York, NY","Msa","NY","1/31/2018",71
753899,2,"Los Angeles-Long Beach-Anaheim, CA","Msa","CA","1/31/2018",19
394463,3,"Chicago, IL","Msa","IL","1/31/2018",48
394514,4,"Dallas-Fort Worth, TX","Msa","TX","1/31/2018",35
394974,5,"Philadelphia, PA","Msa","PA","1/31/2018",56
394692,6,"Houston, TX","Msa","TX","1/31/2018",36
395209,7,"Washington, DC","Msa","DC","1/31/2018",47
394856,8,"Miami-Fort Lauderdale, FL","Msa","FL","1/31/2018",44
394347,9,"Atlanta, GA","Msa","GA","1/31/2018",23
394404,10,"Boston, MA","Msa","MA","1/31/2018",18
395057,11,"San Francisco, CA","Msa","CA","1/31/2018",12
394532,12,"Detroit, MI","Msa","MI","1/31/2018",31
395025,13,"Riverside, CA","Msa","CA","1/31/2018",27
394976,14,"Phoenix, AZ","Msa","AZ","1/31/2018",32
395078,15,"Seattle, WA","Msa","WA","1/31/2018",9
394865,16,"Minneapolis-St Paul, MN","Msa","MN","1/31/2018",37
395056,17,"San Diego, CA","Msa","CA","1/31/2018",16
395121,18,"St. Louis, MO","Msa","MO","1/31/2018",41
395148,19,"Tampa, FL","Msa","FL","1/31/2018",23
394358,20,"Baltimore, MD","Msa","MD","1/31/2018",51
394530,21,"Denver, CO","Msa","CO","1/31/2018",6
394982,22,"Pittsburgh, PA","Msa","PA","1/31/2018",69
394998,23,"Portland, OR","Msa","OR","1/31/2018",20
394458,24,"Charlotte, NC","Msa","NC","1/31/2018",14
395045,25,"Sacramento, CA","Msa","CA","1/31/2018",14
395055,26,"San Antonio, TX","Msa","TX","1/31/2018",50
394943,27,"Orlando, FL","Msa","FL","1/31/2018",25
394466,28,"Cincinnati, OH","Msa","OH","1/31/2018",28
394475,29,"Cleveland, OH","Msa","OH","1/31/2018",61
394735,30,"Kansas City, MO","Msa","MO","1/31/2018",28
394775,31,"Las Vegas, NV","Msa","NV","1/31/2018",36
394492,32,"Columbus, OH","Msa","OH","1/31/2018",15
394705,33,"Indianapolis, IN","Msa","IN","1/31/2018",35
395059,34,"San Jose, CA","Msa","CA","1/31/2018",11
394355,35,"Austin, TX","Msa","TX","1/31/2018",27
395194,36,"Virginia Beach, VA","Msa","VA","1/31/2018",66
394902,37,"Nashville, TN","Msa","TN","1/31/2018",23
395005,38,"Providence, RI","Msa","RI","1/31/2018",49
394862,39,"Milwaukee, WI","Msa","WI","1/31/2018",33
394714,40,"Jacksonville, FL","Msa","FL","1/31/2018",37
394849,41,"Memphis, TN","Msa","TN","1/31/2018",53
394935,42,"Oklahoma City, OK","Msa","OK","1/31/2018",72
394807,43,"Louisville-Jefferson County, KY","Msa","KY","1/31/2018",34
394669,44,"Hartford, CT","Msa","CT","1/31/2018",82
395022,45,"Richmond, VA","Msa","VA","1/31/2018",39
394910,46,"New Orleans, LA","Msa","LA","1/31/2018",46
394425,47,"Buffalo, NY","Msa","NY","1/31/2018",44
395012,48,"Raleigh, NC","Msa","NC","1/31/2018",11
394388,49,"Birmingham, AL","Msa","AL","1/31/2018",40
395053,50,"Salt Lake City, UT","Msa","UT","1/31/2018",26
395031,51,"Rochester, NY","Msa","NY","1/31/2018",53
394640,52,"Grand Rapids, MI","Msa","MI","1/31/2018",20
395167,53,"Tucson, AZ","Msa","AZ","1/31/2018",27
395169,55,"Tulsa, OK","Msa","OK","1/31/2018",58
394619,56,"Fresno, CA","Msa","CA","1/31/2018",13
395238,57,"Worcester, MA","Msa","MA","1/31/2018",34
394415,58,"Stamford, CT","Msa","CT","1/31/2018",89
394312,59,"Albuquerque, NM","Msa","NM","1/31/2018",42
394308,60,"Albany, NY","Msa","NY","1/31/2018",69
394938,61,"Omaha, NE","Msa","NE","1/31/2018",8
394908,62,"New Haven, CT","Msa","CT","1/31/2018",82
394357,63,"Bakersfield, CA","Msa","CA","1/31/2018",32
394753,64,"Knoxville, TN","Msa","TN","1/31/2018",41
394653,65,"Greenville, SC","Msa","SC","1/31/2018",20
394952,66,"Ventura, CA","Msa","CA","1/31/2018",21
394318,67,"Allentown, PA","Msa","PA","1/31/2018",59
394561,68,"El Paso, TX","Msa","TX","1/31/2018",57
394367,69,"Baton Rouge, LA","Msa","LA","1/31/2018",38
394521,70,"Dayton, OH","Msa","OH","1/31/2018",34
394843,71,"McAllen, TX","Msa","TX","1/31/2018",37
394486,72,"Columbia, SC","Msa","SC","1/31/2018",55
394648,73,"Greensboro, NC","Msa","NC","1/31/2018",52
394304,74,"Akron, OH","Msa","OH","1/31/2018",63
753906,75,"North Port-Sarasota-Bradenton, FL","Msa","FL","1/31/2018",52
394798,76,"Little Rock, AR","Msa","AR","1/31/2018",85
395134,77,"Stockton, CA","Msa","CA","1/31/2018",16
394457,78,"Charleston, SC","Msa","SC","1/31/2018",35
395143,79,"Syracuse, NY","Msa","NY","1/31/2018",71
394484,80,"Colorado Springs, CO","Msa","CO","1/31/2018",10
395235,81,"Winston-Salem, NC","Msa","NC","1/31/2018",61
395224,82,"Wichita, KS","Msa","KS","1/31/2018",49
395115,83,"Springfield, MA","Msa","MA","1/31/2018",44
394440,84,"Fort Myers, FL","Msa","FL","1/31/2018",47
394399,85,"Boise City, ID","Msa","ID","1/31/2018",27
395160,86,"Toledo, OH","Msa","OH","1/31/2018",49
394816,87,"Madison, WI","Msa","WI","1/31/2018",50
394766,88,"Lakeland, FL","Msa","FL","1/31/2018",26
394931,89,"Ogden, UT","Msa","UT","1/31/2018",21
394528,90,"Daytona Beach, FL","Msa","FL","1/31/2018",46
394531,91,"Des Moines, IA","Msa","IA","1/31/2018",36
394711,92,"Jackson, MS","Msa","MS","1/31/2018",53
394352,94,"Augusta, GA","Msa","GA","1/31/2018",73
394666,96,"Harrisburg, PA","Msa","PA","1/31/2018",50
395006,100,"Provo, UT","Msa","UT","1/31/2018",33
394602,159,"Fort Collins, CO","Msa","CO","1/31/2018",19
394913,1,"New York, NY","Msa","NY","2/28/2018",36
753899,2,"Los Angeles-Long Beach-Anaheim, CA","Msa","CA","2/28/2018",14
394463,3,"Chicago, IL","Msa","IL","2/28/2018",19
394514,4,"Dallas-Fort Worth, TX","Msa","TX","2/28/2018",22
394974,5,"Philadelphia, PA","Msa","PA","2/28/2018",39
394692,6,"Houston, TX","Msa","TX","2/28/2018",23
395209,7,"Washington, DC","Msa","DC","2/28/2018",32
394856,8,"Miami-Fort Lauderdale, FL","Msa","FL","2/28/2018",35
394347,9,"Atlanta, GA","Msa","GA","2/28/2018",13
394404,10,"Boston, MA","Msa","MA","2/28/2018",9
395057,11,"San Francisco, CA","Msa","CA","2/28/2018",12
394532,12,"Detroit, MI","Msa","MI","2/28/2018",13
395025,13,"Riverside, CA","Msa","CA","2/28/2018",17
394976,14,"Phoenix, AZ","Msa","AZ","2/28/2018",24
395078,15,"Seattle, WA","Msa","WA","2/28/2018",7
394865,16,"Minneapolis-St Paul, MN","Msa","MN","2/28/2018",18
395056,17,"San Diego, CA","Msa","CA","2/28/2018",13
395121,18,"St. Louis, MO","Msa","MO","2/28/2018",22
395148,19,"Tampa, FL","Msa","FL","2/28/2018",20
394358,20,"Baltimore, MD","Msa","MD","2/28/2018",37
394530,21,"Denver, CO","Msa","CO","2/28/2018",6
394982,22,"Pittsburgh, PA","Msa","PA","2/28/2018",49
394998,23,"Portland, OR","Msa","OR","2/28/2018",10
394458,24,"Charlotte, NC","Msa","NC","2/28/2018",9
395045,25,"Sacramento, CA","Msa","CA","2/28/2018",10
395055,26,"San Antonio, TX","Msa","TX","2/28/2018",36
394943,27,"Orlando, FL","Msa","FL","2/28/2018",16
394466,28,"Cincinnati, OH","Msa","OH","2/28/2018",13
394475,29,"Cleveland, OH","Msa","OH","2/28/2018",44
394735,30,"Kansas City, MO","Msa","MO","2/28/2018",18
394775,31,"Las Vegas, NV","Msa","NV","2/28/2018",24
394492,32,"Columbus, OH","Msa","OH","2/28/2018",6
394705,33,"Indianapolis, IN","Msa","IN","2/28/2018",22
395059,34,"San Jose, CA","Msa","CA","2/28/2018",9
394355,35,"Austin, TX","Msa","TX","2/28/2018",11
395194,36,"Virginia Beach, VA","Msa","VA","2/28/2018",58
394902,37,"Nashville, TN","Msa","TN","2/28/2018",14
395005,38,"Providence, RI","Msa","RI","2/28/2018",22
394862,39,"Milwaukee, WI","Msa","WI","2/28/2018",12
394714,40,"Jacksonville, FL","Msa","FL","2/28/2018",27
394849,41,"Memphis, TN","Msa","TN","2/28/2018",30
394935,42,"Oklahoma City, OK","Msa","OK","2/28/2018",40
394807,43,"Louisville-Jefferson County, KY","Msa","KY","2/28/2018",12
394669,44,"Hartford, CT","Msa","CT","2/28/2018",23
395022,45,"Richmond, VA","Msa","VA","2/28/2018",10
394910,46,"New Orleans, LA","Msa","LA","2/28/2018",36
394425,47,"Buffalo, NY","Msa","NY","2/28/2018",23
395012,48,"Raleigh, NC","Msa","NC","2/28/2018",6
394388,49,"Birmingham, AL","Msa","AL","2/28/2018",17
395053,50,"Salt Lake City, UT","Msa","UT","2/28/2018",6
395031,51,"Rochester, NY","Msa","NY","2/28/2018",20
394640,52,"Grand Rapids, MI","Msa","MI","2/28/2018",8
395167,53,"Tucson, AZ","Msa","AZ","2/28/2018",21
395169,55,"Tulsa, OK","Msa","OK","2/28/2018",34
394619,56,"Fresno, CA","Msa","CA","2/28/2018",13
395238,57,"Worcester, MA","Msa","MA","2/28/2018",14
394415,58,"Stamford, CT","Msa","CT","2/28/2018",33
394312,59,"Albuquerque, NM","Msa","NM","2/28/2018",25
394308,60,"Albany, NY","Msa","NY","2/28/2018",30
394938,61,"Omaha, NE","Msa","NE","2/28/2018",5
394908,62,"New Haven, CT","Msa","CT","2/28/2018",42
394357,63,"Bakersfield, CA","Msa","CA","2/28/2018",23
394753,64,"Knoxville, TN","Msa","TN","2/28/2018",24
394653,65,"Greenville, SC","Msa","SC","2/28/2018",14
394952,66,"Ventura, CA","Msa","CA","2/28/2018",12
394318,67,"Allentown, PA","Msa","PA","2/28/2018",56
394561,68,"El Paso, TX","Msa","TX","2/28/2018",49
394367,69,"Baton Rouge, LA","Msa","LA","2/28/2018",21
394521,70,"Dayton, OH","Msa","OH","2/28/2018",21
394843,71,"McAllen, TX","Msa","TX","2/28/2018",63
394486,72,"Columbia, SC","Msa","SC","2/28/2018",39
394648,73,"Greensboro, NC","Msa","NC","2/28/2018",54
394304,74,"Akron, OH","Msa","OH","2/28/2018",53
753906,75,"North Port-Sarasota-Bradenton, FL","Msa","FL","2/28/2018",41
394798,76,"Little Rock, AR","Msa","AR","2/28/2018",28
395134,77,"Stockton, CA","Msa","CA","2/28/2018",11
394457,78,"Charleston, SC","Msa","SC","2/28/2018",17
395143,79,"Syracuse, NY","Msa","NY","2/28/2018",64
394484,80,"Colorado Springs, CO","Msa","CO","2/28/2018",5
395235,81,"Winston-Salem, NC","Msa","NC","2/28/2018",56
395224,82,"Wichita, KS","Msa","KS","2/28/2018",34
395115,83,"Springfield, MA","Msa","MA","2/28/2018",22
394440,84,"Fort Myers, FL","Msa","FL","2/28/2018",41
394399,85,"Boise City, ID","Msa","ID","2/28/2018",9
395160,86,"Toledo, OH","Msa","OH","2/28/2018",27
394816,87,"Madison, WI","Msa","WI","2/28/2018",28
394766,88,"Lakeland, FL","Msa","FL","2/28/2018",23
394931,89,"Ogden, UT","Msa","UT","2/28/2018",8
394528,90,"Daytona Beach, FL","Msa","FL","2/28/2018",37
394531,91,"Des Moines, IA","Msa","IA","2/28/2018",22
394711,92,"Jackson, MS","Msa","MS","2/28/2018",33
394352,94,"Augusta, GA","Msa","GA","2/28/2018",8
394666,96,"Harrisburg, PA","Msa","PA","2/28/2018",43
395006,100,"Provo, UT","Msa","UT","2/28/2018",12
394602,159,"Fort Collins, CO","Msa","CO","2/28/2018",9
394913,1,"New York, NY","Msa","NY","3/31/2018",33
753899,2,"Los Angeles-Long Beach-Anaheim, CA","Msa","CA","3/31/2018",15
394463,3,"Chicago, IL","Msa","IL","3/31/2018",12
394514,4,"Dallas-Fort Worth, TX","Msa","TX","3/31/2018",21
394974,5,"Philadelphia, PA","Msa","PA","3/31/2018",28
394692,6,"Houston, TX","Msa","TX","3/31/2018",16
395209,7,"Washington, DC","Msa","DC","3/31/2018",26
394856,8,"Miami-Fort Lauderdale, FL","Msa","FL","3/31/2018",33
394347,9,"Atlanta, GA","Msa","GA","3/31/2018",11
394404,10,"Boston, MA","Msa","MA","3/31/2018",8
395057,11,"San Francisco, CA","Msa","CA","3/31/2018",13
394532,12,"Detroit, MI","Msa","MI","3/31/2018",9
395025,13,"Riverside, CA","Msa","CA","3/31/2018",19
394976,14,"Phoenix, AZ","Msa","AZ","3/31/2018",26
395078,15,"Seattle, WA","Msa","WA","3/31/2018",7
394865,16,"Minneapolis-St Paul, MN","Msa","MN","3/31/2018",16
395056,17,"San Diego, CA","Msa","CA","3/31/2018",14
395121,18,"St. Louis, MO","Msa","MO","3/31/2018",19
395148,19,"Tampa, FL","Msa","FL","3/31/2018",19
394358,20,"Baltimore, MD","Msa","MD","3/31/2018",26
394530,21,"Denver, CO","Msa","CO","3/31/2018",6
394982,22,"Pittsburgh, PA","Msa","PA","3/31/2018",27
394998,23,"Portland, OR","Msa","OR","3/31/2018",8
394458,24,"Charlotte, NC","Msa","NC","3/31/2018",7
395045,25,"Sacramento, CA","Msa","CA","3/31/2018",10
395055,26,"San Antonio, TX","Msa","TX","3/31/2018",34
394943,27,"Orlando, FL","Msa","FL","3/31/2018",14
394466,28,"Cincinnati, OH","Msa","OH","3/31/2018",9
394475,29,"Cleveland, OH","Msa","OH","3/31/2018",36
394735,30,"Kansas City, MO","Msa","MO","3/31/2018",14
394775,31,"Las Vegas, NV","Msa","NV","3/31/2018",21
394492,32,"Columbus, OH","Msa","OH","3/31/2018",6
394705,33,"Indianapolis, IN","Msa","IN","3/31/2018",13
395059,34,"San Jose, CA","Msa","CA","3/31/2018",11
394355,35,"Austin, TX","Msa","TX","3/31/2018",12
395194,36,"Virginia Beach, VA","Msa","VA","3/31/2018",39
394902,37,"Nashville, TN","Msa","TN","3/31/2018",8
395005,38,"Providence, RI","Msa","RI","3/31/2018",22
394862,39,"Milwaukee, WI","Msa","WI","3/31/2018",8
394714,40,"Jacksonville, FL","Msa","FL","3/31/2018",30
394849,41,"Memphis, TN","Msa","TN","3/31/2018",29
394935,42,"Oklahoma City, OK","Msa","OK","3/31/2018",7
394807,43,"Louisville-Jefferson County, KY","Msa","KY","3/31/2018",10
394669,44,"Hartford, CT","Msa","CT","3/31/2018",24
395022,45,"Richmond, VA","Msa","VA","3/31/2018",8
394910,46,"New Orleans, LA","Msa","LA","3/31/2018",23
394425,47,"Buffalo, NY","Msa","NY","3/31/2018",15
395012,48,"Raleigh, NC","Msa","NC","3/31/2018",7
394388,49,"Birmingham, AL","Msa","AL","3/31/2018",14
395053,50,"Salt Lake City, UT","Msa","UT","3/31/2018",9
395031,51,"Rochester, NY","Msa","NY","3/31/2018",17
394640,52,"Grand Rapids, MI","Msa","MI","3/31/2018",7
395167,53,"Tucson, AZ","Msa","AZ","3/31/2018",18
395169,55,"Tulsa, OK","Msa","OK","3/31/2018",31
394619,56,"Fresno, CA","Msa","CA","3/31/2018",17
395238,57,"Worcester, MA","Msa","MA","3/31/2018",13
394415,58,"Stamford, CT","Msa","CT","3/31/2018",24
394312,59,"Albuquerque, NM","Msa","NM","3/31/2018",18
394308,60,"Albany, NY","Msa","NY","3/31/2018",25
394938,61,"Omaha, NE","Msa","NE","3/31/2018",8
394908,62,"New Haven, CT","Msa","CT","3/31/2018",23
394357,63,"Bakersfield, CA","Msa","CA","3/31/2018",22
394753,64,"Knoxville, TN","Msa","TN","3/31/2018",13
394653,65,"Greenville, SC","Msa","SC","3/31/2018",11
394952,66,"Ventura, CA","Msa","CA","3/31/2018",12
394318,67,"Allentown, PA","Msa","PA","3/31/2018",35
394561,68,"El Paso, TX","Msa","TX","3/31/2018",41
394367,69,"Baton Rouge, LA","Msa","LA","3/31/2018",24
394521,70,"Dayton, OH","Msa","OH","3/31/2018",13
394843,71,"McAllen, TX","Msa","TX","3/31/2018",57
394486,72,"Columbia, SC","Msa","SC","3/31/2018",26
394648,73,"Greensboro, NC","Msa","NC","3/31/2018",41
394304,74,"Akron, OH","Msa","OH","3/31/2018",34
753906,75,"North Port-Sarasota-Bradenton, FL","Msa","FL","3/31/2018",39
394798,76,"Little Rock, AR","Msa","AR","3/31/2018",40
395134,77,"Stockton, CA","Msa","CA","3/31/2018",12
394457,78,"Charleston, SC","Msa","SC","3/31/2018",18
395143,79,"Syracuse, NY","Msa","NY","3/31/2018",47
394484,80,"Colorado Springs, CO","Msa","CO","3/31/2018",6
395235,81,"Winston-Salem, NC","Msa","NC","3/31/2018",36
395224,82,"Wichita, KS","Msa","KS","3/31/2018",19
395115,83,"Springfield, MA","Msa","MA","3/31/2018",18
394440,84,"Fort Myers, FL","Msa","FL","3/31/2018",41
394399,85,"Boise City, ID","Msa","ID","3/31/2018",8
