"RegionID","SizeRank","RegionName","RegionType","StateName","Date","MedianSalePrice"
394913,1,"New York, NY","Msa","NY","2/29/2008",NA
753899,2,"Los Angeles-Long Beach-Anaheim, CA","Msa","CA","2/29/2008",510000
394463,3,"Chicago, IL","Msa","IL","2/29/2008",250000
394514,4,"Dallas-Fort Worth, TX","Msa","TX","2/29/2008",145000
394974,5,"Philadelphia, PA","Msa","PA","2/29/2008",218000
394692,6,"Houston, TX","Msa","TX","2/29/2008",152000
395209,7,"Washington, DC","Msa","DC","2/29/2008",369411
394856,8,"Miami-Fort Lauderdale, FL","Msa","FL","2/29/2008",268000
394347,9,"Atlanta, GA","Msa","GA","2/29/2008",182350
394404,10,"Boston, MA","Msa","MA","2/29/2008",318000
395057,11,"San Francisco, CA","Msa","CA","2/29/2008",580000
394532,12,"Detroit, MI","Msa","MI","2/29/2008",133250
395025,13,"Riverside, CA","Msa","CA","2/29/2008",330000
394976,14,"Phoenix, AZ","Msa","AZ","2/29/2008",226605
395078,15,"Seattle, WA","Msa","WA","2/29/2008",351000
394865,16,"Minneapolis-St Paul, MN","Msa","MN","2/29/2008",218650
395056,17,"San Diego, CA","Msa","CA","2/29/2008",470000
395121,18,"St. Louis, MO","Msa","MO","2/29/2008",144250
395148,19,"Tampa, FL","Msa","FL","2/29/2008",175000
394358,20,"Baltimore, MD","Msa","MD","2/29/2008",257250
394530,21,"Denver, CO","Msa","CO","2/29/2008",239000
394982,22,"Pittsburgh, PA","Msa","PA","2/29/2008",118500
394998,23,"Portland, OR","Msa","OR","2/29/2008",270000
394458,24,"Charlotte, NC","Msa","NC","2/29/2008",173000
395045,25,"Sacramento, CA","Msa","CA","2/29/2008",336000
395055,26,"San Antonio, TX","Msa","TX","2/29/2008",147478
394943,27,"Orlando, FL","Msa","FL","2/29/2008",226000
394466,28,"Cincinnati, OH","Msa","OH","2/29/2008",141000
394475,29,"Cleveland, OH","Msa","OH","2/29/2008",130000
394735,30,"Kansas City, MO","Msa","MO","2/29/2008",149900
394775,31,"Las Vegas, NV","Msa","NV","2/29/2008",268508
394492,32,"Columbus, OH","Msa","OH","2/29/2008",145500
394705,33,"Indianapolis, IN","Msa","IN","2/29/2008",116500
395059,34,"San Jose, CA","Msa","CA","2/29/2008",702500
394355,35,"Austin, TX","Msa","TX","2/29/2008",185000
395194,36,"Virginia Beach, VA","Msa","VA","2/29/2008",219900
394902,37,"Nashville, TN","Msa","TN","2/29/2008",160900
395005,38,"Providence, RI","Msa","RI","2/29/2008",260000
394862,39,"Milwaukee, WI","Msa","WI","2/29/2008",170000
394714,40,"Jacksonville, FL","Msa","FL","2/29/2008",189000
394849,41,"Memphis, TN","Msa","TN","2/29/2008",133000
394935,42,"Oklahoma City, OK","Msa","OK","2/29/2008",114500
394807,43,"Louisville-Jefferson County, KY","Msa","KY","2/29/2008",135000
394669,44,"Hartford, CT","Msa","CT","2/29/2008",225000
395022,45,"Richmond, VA","Msa","VA","2/29/2008",205000
394910,46,"New Orleans, LA","Msa","LA","2/29/2008",165000
394425,47,"Buffalo, NY","Msa","NY","2/29/2008",107000
395012,48,"Raleigh, NC","Msa","NC","2/29/2008",2e+05
394388,49,"Birmingham, AL","Msa","AL","2/29/2008",145450
395053,50,"Salt Lake City, UT","Msa","UT","2/29/2008",225000
395031,51,"Rochester, NY","Msa","NY","2/29/2008",110600
394640,52,"Grand Rapids, MI","Msa","MI","2/29/2008",127000
395167,53,"Tucson, AZ","Msa","AZ","2/29/2008",214000
753924,54,"Urban Honolulu, HI","Msa","HI","2/29/2008",390000
395169,55,"Tulsa, OK","Msa","OK","2/29/2008",118000
394619,56,"Fresno, CA","Msa","CA","2/29/2008",255000
395238,57,"Worcester, MA","Msa","MA","2/29/2008",236000
394415,58,"Stamford, CT","Msa","CT","2/29/2008",402000
394312,59,"Albuquerque, NM","Msa","NM","2/29/2008",189000
394308,60,"Albany, NY","Msa","NY","2/29/2008",166250
394938,61,"Omaha, NE","Msa","NE","2/29/2008",132000
394908,62,"New Haven, CT","Msa","CT","2/29/2008",230000
394357,63,"Bakersfield, CA","Msa","CA","2/29/2008",232500
394753,64,"Knoxville, TN","Msa","TN","2/29/2008",135625
394653,65,"Greenville, SC","Msa","SC","2/29/2008",142995
394952,66,"Ventura, CA","Msa","CA","2/29/2008",495000
394318,67,"Allentown, PA","Msa","PA","2/29/2008",195000
394561,68,"El Paso, TX","Msa","TX","2/29/2008",135000
394367,69,"Baton Rouge, LA","Msa","LA","2/29/2008",168000
394521,70,"Dayton, OH","Msa","OH","2/29/2008",119900
