county,state,personal income 2017,personal income 2018,personal income 2019,Rank in State 2019,Percent change from preceding period 2018,Percent change from preceding period 2019,Percent change Rank 2019
Autauga,al,41101,42504,43917,10,3.4,3.3,37
Baldwin,al,44566,46205,47485,4,3.7,2.8,48
Barbour,al,33318,35067,35763,47,5.2,2,60
Bibb,al,29386,30559,31725,66,4,3.8,20
Blount,al,34317,35671,36412,41,3.9,2.1,57
Bullock,al,26906,27891,29080,67,3.7,4.3,11
Butler,al,35803,36783,37523,34,2.7,2,58
Calhoun,al,35927,36988,38394,26,3,3.8,21
Chambers,al,32940,34395,35900,44,4.4,4.4,9
Cherokee,al,34625,36037,36432,40,4.1,1.1,64
Chilton,al,33863,35053,36188,42,3.5,3.2,41
Choctaw,al,37444,38896,40145,20,3.9,3.2,42
Clarke,al,35419,36336,37965,31,2.6,4.5,6
Clay,al,32492,33613,34322,56,3.5,2.1,56
Cleburne,al,35457,36243,35791,45,2.2,-1.2,67
Coffee,al,41205,42863,43979,9,4,2.6,49
Colbert,al,37371,38319,39679,23,2.5,3.5,30
Conecuh,al,31957,33563,34892,54,5,4,17
Coosa,al,30294,31343,32523,65,3.5,3.8,25
Covington,al,35098,36171,36756,38,3.1,1.6,63
Crenshaw,al,35868,36875,37118,36,2.8,0.7,66
Cullman,al,38513,40016,40818,16,3.9,2,59
Dale,al,35809,37063,37853,32,3.5,2.1,55
Dallas,al,34734,36175,38362,27,4.1,6,1
DeKalb,al,31520,32642,33242,63,3.6,1.8,61
Elmore,al,41376,42705,44316,8,3.2,3.8,24
Escambia,al,32114,32997,34432,55,2.7,4.3,10
Etowah,al,36064,37245,38326,28,3.3,2.9,46
Fayette,al,33769,35041,36465,39,3.8,4.1,15
Franklin,al,33038,34714,35292,48,5.1,1.7,62
Geneva,al,34331,35525,36848,37,3.5,3.7,26
Greene,al,31790,31760,33386,62,-0.1,5.1,3
Hale,al,35842,36586,38207,30,2.1,4.4,8
Henry,al,40915,42439,43502,11,3.7,2.5,50
Houston,al,41340,43216,44647,7,4.5,3.3,38
Jackson,al,35967,37162,38315,29,3.3,3.1,44
Jefferson,al,52923,55570,57329,1,5,3.2,43
Lamar,al,32665,33804,35148,50,3.5,4,16
Lauderdale,al,36093,37487,38758,24,3.9,3.4,34
Lawrence,al,32819,34084,35039,51,3.9,2.8,47
Lee,al,36845,38378,39781,22,4.2,3.7,27
Limestone,al,41192,43286,44946,6,5.1,3.8,19
Lowndes,al,39023,39796,40785,17,2,2.5,51
Macon,al,31821,33336,34901,53,4.8,4.7,5
Madison,al,49711,52011,54010,3,4.6,3.8,18
Marengo,al,37667,40209,41567,15,6.7,3.4,35
Marion,al,32089,33189,34000,57,3.4,2.4,53
Marshall,al,35003,36243,37345,35,3.5,3,45
Mobile,al,37390,38791,40112,21,3.7,3.4,32
Monroe,al,32780,33595,35174,49,2.5,4.7,4
Montgomery,al,42732,43969,45479,5,2.9,3.4,31
Morgan,al,38631,40223,41741,14,4.1,3.8,23
Perry,al,31671,31821,33529,61,0.5,5.4,2
Pickens,al,32144,33087,33890,59,2.9,2.4,54
Pike,al,36445,37543,38473,25,3,2.5,52
Randolph,al,32481,33441,33804,60,3,1.1,65
Russell,al,32572,32655,33986,58,0.3,4.1,14
St. Clair,al,37413,39329,40766,18,5.1,3.7,28
Shelby,al,52454,54963,56830,2,4.8,3.4,33
Sumter,al,31228,31679,33009,64,1.4,4.2,12
