"rank","name","usps","pop2021","pop2010","change","density","aland"
"1","New York City","NY","8230290","8190210","","10579.0101","777983000"
"2","Los Angeles","CA","3983540","3795510","","3279.7405","1214590000"
"3","Chicago","IL","2679080","2697480","","4549.4344","588882000"
"4","Houston","TX","2323660","2100280","","1401.4076","1658090000"
"5","Phoenix","AZ","1733630","1449040","","1293.0107","1340770000"
"6","Philadelphia","PA","1585010","1528280","","4557.4814","347782000"
"7","San Antonio","TX","1581730","1332300","","1258.8982","1256440000"
"8","San Diego","CA","1427720","1305910","","1691.5753","844018000"
"9","Dallas","TX","1347120","1200350","","1530.9730","879911000"
"10","Austin","TX","1011790","806164","","1221.0278","828638000"
"11","San Jose","CA","1009340","954940","","2191.7350","460521000"
"12","Fort Worth","TX","942323","748441","","1052.8055","895059000"
"13","Jacksonville","FL","929647","823114","","480.2069","1935930000"
"14","Columbus","OH","913921","790943","","1609.8151","567718000"
"15","Charlotte","NC","912096","738444","","1146.2179","795744000"
"16","Indianapolis","IN","887232","821579","","947.4268","936465000"
"17","San Francisco","CA","883255","805505","","7270.9050","121478000"
"18","Seattle","WA","776555","610630","","3575.2828","217201000"
"19","Denver","CO","749103","603359","","1886.7905","397025000"
"20","Washington","DC","714153","605226","","4510.2501","158340000"
"21","Boston","MA","695506","621048","","5555.2929","125197000"
"22","El Paso","TX","685434","650671","","1028.0765","666715000"
"23","Nashville","TN","678448","604589","","550.8448","1231650000"
"24","Oklahoma City","OK","669347","582516","","426.1511","1570680000"
"25","Las Vegas","NV","667501","584576","","1817.9370","367175000"
"26","Detroit","MI","664139","711131","","1848.5842","359269000"
"27","Portland","OR","662549","585429","","1917.3308","345558000"
"28","Memphis","TN","651011","652326","","792.0324","821950000"
"29","Louisville","KY","615924","596482","","902.7292","682291000"
"30","Milwaukee","WI","587721","594865","","2359.2357","249115000"
"31","Baltimore","MD","575584","620915","","2745.4388","209651000"
"32","Albuquerque","NM","562281","546755","","1159.6220","484883000"
"33","Tucson","AZ","554503","527160","","899.5043","616454000"
"34","Mesa","AZ","538146","440993","","1504.7184","357639000"
"35","Fresno","CA","537100","497769","","1807.5898","297136000"
"36","Sacramento","CA","525398","467286","","2075.6956","253119000"
"37","Atlanta","GA","524067","429410","","1490.7028","351557000"
"38","Kansas City","MO","501957","460697","","615.4820","815551000"
"39","Colorado Springs","CO","489529","420685","","969.2741","505047000"
"40","Raleigh","NC","483579","406353","","1279.8377","377844000"
"41","Omaha","NE","479978","459659","","1314.4896","365144000"
"42","Miami","FL","478251","400779","","5129.7698","93230500"
"43","Long Beach","CA","456154","462431","","3474.0826","131302000"
"44","Virginia Beach","VA","450224","438859","","710.3241","633829000"
"45","Oakland","CA","440981","391406","","3046.2273","144763000"
"46","Minneapolis","MN","439012","383067","","3138.9838","139858000"
"47","Tampa","FL","404636","337053","","1370.2447","295302000"
"48","Tulsa","OK","402742","392403","","787.4283","511465000"
"49","Arlington","TX","400316","365892","","1613.7414","248067000"
"50","Wichita","KS","391352","382745","","934.6746","418704000"
"51","Bakersfield","CA","389007","348987","","1002.9288","387871000"
"52","Aurora","CO","388723","326055","","972.8728","399562000"
"53","New Orleans","LA","388424","347772","","885.1335","438831000"
"54","Cleveland","OH","376599","395926","","1871.5133","201227000"
"55","Anaheim","CA","349699","336760","","2683.2017","130329000"
"56","Henderson","NV","341531","257452","","1243.0610","274750000"
"57","Honolulu","HI","341302","339121","","2176.5737","156807000"
"58","Riverside","CA","334772","305466","","1590.6832","210458000"
"59","Santa Ana","CA","333130","325327","","4700.9301","70864700"
"60","Corpus Christi","TX","327144","305272","","790.9098","413630000"
"61","Lexington","KY","324604","296848","","441.8689","734616000"
"62","San Juan","PR","323279","381931","","3157.2990","102391000"
"63","Stockton","CA","314835","292888","","1955.1812","161026000"
"64","St. Paul","MN","310368","285510","","2305.4776","134622000"
"65","Cincinnati","OH","307266","296980","","1524.1823","201594000"
"66","Greensboro","NC","301094","269598","","900.7132","334284000"
"67","Pittsburgh","PA","299718","305283","","2089.7339","143424000"
"68","Irvine","CA","298739","213450","","1757.7742","169953000"
"69","St. Louis","MO","294890","319336","","1844.0421","159915000"
"70","Lincoln","NE","293446","259455","","1177.4718","249217000"
"71","Orlando","FL","290520","239326","","1014.5768","286346000"
"72","Durham","NC","287865","230727","","990.4180","290650000"
"73","Plano","TX","285537","261234","","1537.9896","185656000"
"74","Anchorage","AK","282958","293321","","64.0091","4420590000"
"75","Newark","NJ","282529","277175","","4518.1941","62531400"
"76","Chula Vista","CA","281838","244648","","2192.1147","128569000"
"77","Fort Wayne","IN","276286","254161","","964.1942","286546000"
"78","Chandler","AZ","269123","236454","","1595.5688","168669000"
"79","Toledo","OH","268609","287065","","1288.5089","208465000"
"80","St. Petersburg","FL","267121","245222","","1667.1306","160228000"
"81","Reno","NV","266511","225652","","946.2623","281646000"
"82","Laredo","TX","265761","236807","","970.3804","273873000"
"83","Scottsdale","AZ","265249","217638","","556.6319","476525000"
"84","North Las Vegas","NV","265224","216836","","1044.7689","253859000"
"85","Lubbock","TX","263648","231105","","755.5878","348931000"
"86","Madison","WI","263332","233730","","1281.5082","205486000"
"87","Gilbert","AZ","262514","209493","","1480.2197","177348000"
"88","Jersey City","NJ","258523","248324","","6770.1699","38185600"
