month,month_number,year,mortgage_rate,date
January,1,1992,8.01,1992-01-01
February,2,1992,8.38,1992-02-01
March,3,1992,8.58,1992-03-01
April,4,1992,8.47,1992-04-01
May,5,1992,8.29,1992-05-01
June,6,1992,8.08,1992-06-01
July,7,1992,7.67,1992-07-01
August,8,1992,7.49,1992-08-01
September,9,1992,7.41,1992-09-01
October,10,1992,7.55,1992-10-01
November,11,1992,7.8,1992-11-01
December,12,1992,7.742,1992-12-01
January,1,1993,7.51,1993-01-01
February,2,1993,7.17,1993-02-01
March,3,1993,7.0,1993-03-01
April,4,1993,6.9425,1993-04-01
May,5,1993,6.93,1993-05-01
June,6,1993,6.92,1993-06-01
July,7,1993,6.72,1993-07-01
August,8,1993,6.63,1993-08-01
September,9,1993,6.43,1993-09-01
October,10,1993,6.374,1993-10-01
November,11,1993,6.6875,1993-11-01
December,12,1993,6.682,1993-12-01
January,1,1994,6.565,1994-01-01
February,2,1994,6.655,1994-02-01
March,3,1994,7.1825,1994-03-01
April,4,1994,7.8,1994-04-01
May,5,1994,8.0775,1994-05-01
June,6,1994,7.91,1994-06-01
July,7,1994,8.11,1994-07-01
August,8,1994,8.02,1994-08-01
September,9,1994,8.13,1994-09-01
October,10,1994,8.39,1994-10-01
November,11,1994,8.67,1994-11-01
December,12,1994,8.8,1994-12-01
January,1,1995,8.8,1995-01-01
February,2,1995,8.46,1995-02-01
March,3,1995,8.06,1995-03-01
April,4,1995,7.88,1995-04-01
May,5,1995,7.51,1995-05-01
June,6,1995,7.06,1995-06-01
July,7,1995,7.09,1995-07-01
August,8,1995,7.36,1995-08-01
September,9,1995,7.16,1995-09-01
October,10,1995,7.0075,1995-10-01
November,11,1995,6.8875,1995-11-01
December,12,1995,6.736,1995-12-01
January,1,1996,6.545,1996-01-01
February,2,1996,6.56,1996-02-01
March,3,1996,7.114,1996-03-01
April,4,1996,7.44,1996-04-01
May,5,1996,7.578,1996-05-01
June,6,1996,7.8325,1996-06-01
July,7,1996,7.7675,1996-07-01
August,8,1996,7.518,1996-08-01
September,9,1996,7.7525,1996-09-01
October,10,1996,7.43,1996-10-01
November,11,1996,7.142,1996-11-01
December,12,1996,7.0975,1996-12-01
January,1,1997,7.328,1997-01-01
February,2,1997,7.15,1997-02-01
March,3,1997,7.405,1997-03-01
April,4,1997,7.675,1997-04-01
May,5,1997,7.472,1997-05-01
June,6,1997,7.235,1997-06-01
July,7,1997,7.04,1997-07-01
August,8,1997,7.016,1997-08-01
September,9,1997,6.9875,1997-09-01
October,10,1997,6.848,1997-10-01
November,11,1997,6.76,1997-11-01
December,12,1997,6.6625,1997-12-01
January,1,1998,6.576,1998-01-01
February,2,1998,6.6375,1998-02-01
March,3,1998,6.7425,1998-03-01
April,4,1998,6.78,1998-04-01
May,5,1998,6.784,1998-05-01
June,6,1998,6.6675,1998-06-01
July,7,1998,6.624,1998-07-01
August,8,1998,6.6125,1998-08-01
September,9,1998,6.4025,1998-09-01
October,10,1998,6.364,1998-10-01
November,11,1998,6.505,1998-11-01
December,12,1998,6.39,1998-12-01
January,1,1999,6.425,1999-01-01
February,2,1999,6.4375,1999-02-01
March,3,1999,6.675,1999-03-01
April,4,1999,6.528,1999-04-01
May,5,1999,6.7475,1999-05-01
June,6,1999,7.1775,1999-06-01
July,7,1999,7.256,1999-07-01
August,8,1999,7.5275,1999-08-01
September,9,1999,7.4425,1999-09-01
October,10,1999,7.466,1999-10-01
November,11,1999,7.355,1999-11-01
December,12,1999,7.52,1999-12-01
January,1,2000,7.8,2000-01-01
February,2,2000,7.93,2000-02-01
March,3,2000,7.83,2000-03-01
April,4,2000,7.8,2000-04-01
May,5,2000,8.18,2000-05-01
June,6,2000,7.99,2000-06-01
July,7,2000,7.87,2000-07-01
August,8,2000,7.7625,2000-08-01
September,9,2000,7.6,2000-09-01
October,10,2000,7.47,2000-10-01
November,11,2000,7.42,2000-11-01
December,12,2000,7.06,2000-12-01
January,1,2001,6.64,2001-01-01
February,2,2001,6.64,2001-02-01
March,3,2001,6.51,2001-03-01
April,4,2001,6.6,2001-04-01
May,5,2001,6.68,2001-05-01
June,6,2001,6.7,2001-06-01
July,7,2001,6.68,2001-07-01
August,8,2001,6.5,2001-08-01
September,9,2001,6.34,2001-09-01
October,10,2001,6.1,2001-10-01
November,11,2001,6.15,2001-11-01
December,12,2001,6.54,2001-12-01
January,1,2002,6.48,2002-01-01
February,2,2002,6.38,2002-02-01
March,3,2002,6.52,2002-03-01
April,4,2002,6.48,2002-04-01
May,5,2002,6.28,2002-05-01
June,6,2002,6.11,2002-06-01
July,7,2002,5.93,2002-07-01
August,8,2002,5.7,2002-08-01
September,9,2002,5.51,2002-09-01
October,10,2002,5.5,2002-10-01
November,11,2002,5.46,2002-11-01
December,12,2002,5.45,2002-12-01
January,1,2003,5.3,2003-01-01
February,2,2003,5.22,2003-02-01
March,3,2003,5.07,2003-03-01
April,4,2003,5.12,2003-04-01
May,5,2003,4.86,2003-05-01
June,6,2003,4.63,2003-06-01
July,7,2003,4.97,2003-07-01
August,8,2003,5.59,2003-08-01
September,9,2003,5.46,2003-09-01
October,10,2003,5.27,2003-10-01
November,11,2003,5.27,2003-11-01
December,12,2003,5.2,2003-12-01
January,1,2004,5.02,2004-01-01
February,2,2004,4.94,2004-02-01
March,3,2004,4.74,2004-03-01
April,4,2004,5.16,2004-04-01
May,5,2004,5.64,2004-05-01
June,6,2004,5.66,2004-06-01
July,7,2004,5.46,2004-07-01
August,8,2004,5.26,2004-08-01
September,9,2004,5.14,2004-09-01
October,10,2004,5.12,2004-10-01
November,11,2004,5.14,2004-11-01
