city,state,month,year,supply_score,demand_score,median_listing_price_yy,median_days_on_market_yy,unique_viewers_per_property_yy,mortgage_rate,date,date_month_num,hotness_rank_yy,hotness_rank,class,city_state,latitude,longitude
richmond,va,July,2021,31.83259353,56.1192137,0.034750366,-0.385714286,0.2790697669999999,2.18,2021-07-01,7,-207,958,2,"richmond, va",37.453158,-77.469798
lafayette,la,July,2021,14.20418516,30.6911858,-0.1555555559999999,-0.5954198470000001,0.6,2.18,2021-07-01,7,80,1343,1,"lafayette, la",30.236141,-92.008261
yuma,az,July,2021,85.22511097,38.87127457,0.169683952,-0.542372881,0.257142857,2.18,2021-07-01,7,272,463,3,"yuma, az",32.701507,-114.642362
faribault,mn,July,2021,35.1934052,32.84717819,0.110882795,0.0,0.205882353,2.18,2021-07-01,7,-785,1151,1,"faribault, mn",44.294457,-93.28179
chicago,il,July,2021,82.37159163,79.58148383,-0.125039075,-0.348837209,-0.027027027,2.18,2021-07-01,7,-116,164,0,"chicago, il",41.885847,-87.618123
columbus,oh,July,2021,97.97083069,98.03424223,-0.003001,-0.515151515,0.054545455,2.18,2021-07-01,7,-1,7,0,"columbus, oh",40.1444,-82.9789
beaumont,tx,July,2021,35.1934052,10.33608117,0.032907261,-0.096774194,0.3888888889999999,2.18,2021-07-01,7,-455,1339,1,"beaumont, tx",30.068805,-94.103896
dalton,ga,July,2021,62.84083703,60.36778694,0.080897076,-0.3928571429999999,0.2666666669999999,2.18,2021-07-01,7,-25,479,0,"dalton, ga",34.7697,-84.9702
indiana,pa,July,2021,18.4527584,42.1686747,0.0229007629999999,-0.3589743589999999,1.0,2.18,2021-07-01,7,67,1218,1,"indiana, pa",40.619628,-79.159596
fayetteville,ar,July,2021,35.1934052,57.19720989,0.062168072,-0.317073171,0.571428571,2.18,2021-07-01,7,-129,892,2,"fayetteville, ar",36.052045,-94.153395
reading,pa,July,2021,50.15852885,51.87064046,-0.077644008,0.0,-0.2,2.18,2021-07-01,7,-721,757,2,"reading, pa",40.346621,-75.935132
omaha,ne,July,2021,62.84083703,22.19403932,-0.1409375,-0.218390805,0.307692308,2.18,2021-07-01,7,-365,989,3,"omaha, ne",41.261,-95.9376
washington,dc,July,2021,86.30310717,13.950539,0.027635664,0.405405405,-0.450980392,2.18,2021-07-01,7,-729,785,3,"washington, dc",38.912217,-77.017691
pahrump,nv,July,2021,58.14838301,10.082435,0.24567474,-0.4488188979999999,0.666666667,2.18,2021-07-01,7,100,1149,3,"pahrump, nv",36.204039,-116.014661
pittsburgh,pa,July,2021,42.23208624,62.39695625,-0.087889299,-0.277777778,0.487179487,2.18,2021-07-01,7,-203,709,2,"pittsburgh, pa",40.474536,-79.952524
wilson,nc,July,2021,62.84083703,91.50285352,0.048632219,-0.558441558,0.660377358,2.18,2021-07-01,7,461,219,0,"wilson, nc",35.727022,-77.922733
las vegas,nv,July,2021,87.31769182,3.804692454,0.208211144,-0.494949495,0.333333333,2.18,2021-07-01,7,135,912,3,"las vegas, nv",36.172082,-115.122366
marquette,mi,July,2021,14.20418516,55.23145212,0.06223176,-0.333333333,1.0,2.18,2021-07-01,7,76,1138,2,"marquette, mi",46.53124,-87.389443
chillicothe,oh,July,2021,89.22003805,93.34178821,-0.121706399,-0.654676259,0.0681818179999999,2.18,2021-07-01,7,333,39,0,"chillicothe, oh",39.337997,-82.98949
davenport,ia,July,2021,0.380469245,1.6487000630000002,-0.088435374,0.936305732,-0.083333333,2.18,2021-07-01,7,-7,1564,1,"davenport, ia",41.5218,-90.5743
new york,ny,July,2021,16.7406468,3.614457831,0.12687813,-0.120689655,0.0,2.18,2021-07-01,7,-332,1485,1,"new york, ny",40.74838,-73.996705
columbia,sc,July,2021,93.97590361,61.82625238,0.12376519,-0.704225352,1.230769231,2.18,2021-07-01,7,941,208,0,"columbia, sc",34.072613,-81.179617
seattle,wa,July,2021,70.7038681,2.155992391,0.040816327,-0.088235294,0.333333333,2.18,2021-07-01,7,-270,1113,3,"seattle, wa",47.611435,-122.330456
cincinnati,oh,July,2021,28.66201649,48.31959417,0.177151179,-0.043478261,-0.295774648,2.18,2021-07-01,7,-993,1075,2,"cincinnati, oh",39.091293,-84.277383
houston,tx,July,2021,53.96322131,5.960684845,0.150822595,-0.433070866,0.117647059,2.18,2021-07-01,7,-24,1233,3,"houston, tx",29.596156,-95.458709
