"Month","variable","MortgageRate"
"January","1992",8.01
"February","1992",8.38
"March","1992",8.58
"April","1992",8.47
"May","1992",8.29
"June","1992",8.08
"July","1992",7.67
"August","1992",7.49
"September","1992",7.41
"October","1992",7.55
"November","1992",7.8
"December","1992",7.742
"January","1993",7.51
"February","1993",7.17
"March","1993",7
"April","1993",6.9425
"May","1993",6.93
"June","1993",6.92
"July","1993",6.72
"August","1993",6.63
"September","1993",6.43
"October","1993",6.374
"November","1993",6.6875
"December","1993",6.682
"January","1994",6.565
"February","1994",6.655
"March","1994",7.1825
"April","1994",7.8
"May","1994",8.0775
"June","1994",7.91
"July","1994",8.11
"August","1994",8.02
"September","1994",8.13
"October","1994",8.39
"November","1994",8.67
"December","1994",8.8
"January","1995",8.8
"February","1995",8.46
"March","1995",8.06
"April","1995",7.88
"May","1995",7.51
"June","1995",7.06
"July","1995",7.09
"August","1995",7.36
"September","1995",7.16
"October","1995",7.0075
"November","1995",6.8875
"December","1995",6.736
"January","1996",6.545
"February","1996",6.56
"March","1996",7.114
"April","1996",7.44
"May","1996",7.578
"June","1996",7.8325
"July","1996",7.7675
"August","1996",7.518
"September","1996",7.7525
"October","1996",7.43
"November","1996",7.142
"December","1996",7.0975
"January","1997",7.328
"February","1997",7.15
"March","1997",7.405
"April","1997",7.675
"May","1997",7.472
"June","1997",7.235
"July","1997",7.04
"August","1997",7.016
"September","1997",6.9875
"October","1997",6.848
"November","1997",6.76
"December","1997",6.6625
"January","1998",6.576
"February","1998",6.6375
"March","1998",6.7425
"April","1998",6.78
"May","1998",6.784
"June","1998",6.6675
"July","1998",6.624
"August","1998",6.6125
"September","1998",6.4025
"October","1998",6.364
"November","1998",6.505
"December","1998",6.39
"January","1999",6.425
"February","1999",6.4375
"March","1999",6.675
"April","1999",6.528
"May","1999",6.7475
"June","1999",7.1775
"July","1999",7.256
"August","1999",7.5275
"September","1999",7.4425
"October","1999",7.466
"November","1999",7.355
"December","1999",7.52
"January","2000",7.8
"February","2000",7.93
"March","2000",7.83
"April","2000",7.8
"May","2000",8.18
"June","2000",7.99
"July","2000",7.87
"August","2000",7.7625
"September","2000",7.6
"October","2000",7.47
"November","2000",7.42
"December","2000",7.06
"January","2001",6.64
"February","2001",6.64
"March","2001",6.51
"April","2001",6.6
"May","2001",6.68
"June","2001",6.7
"July","2001",6.68
"August","2001",6.5
"September","2001",6.34
"October","2001",6.1
"November","2001",6.15
"December","2001",6.54
"January","2002",6.48
"February","2002",6.38
"March","2002",6.52
"April","2002",6.48
"May","2002",6.28
"June","2002",6.11
"July","2002",5.93
"August","2002",5.7
"September","2002",5.51
"October","2002",5.5
"November","2002",5.46
"December","2002",5.45
"January","2003",5.3
"February","2003",5.22
"March","2003",5.07
"April","2003",5.12
"May","2003",4.86
"June","2003",4.63
"July","2003",4.97
"August","2003",5.59
"September","2003",5.46
"October","2003",5.27
"November","2003",5.27
"December","2003",5.2
"January","2004",5.02
"February","2004",4.94
"March","2004",4.74
"April","2004",5.16
"May","2004",5.64
"June","2004",5.66
"July","2004",5.46
"August","2004",5.26
"September","2004",5.14
"October","2004",5.12
"November","2004",5.14
"December","2004",5.18
"January","2005",5.1725
"February","2005",5.15
"March","2005",5.46
"April","2005",5.41
"May","2005",5.28
"June","2005",5.17
"July","2005",5.28
"August","2005",5.4
"September","2005",5.36
"October","2005",5.63
"November","2005",5.86
"December","2005",5.82
"January","2006",5.71
"February","2006",5.86
"March","2006",5.97
"April","2006",6.16
"May","2006",6.21
"June","2006",6.31
"July","2006",6.39
"August","2006",6.2
"September","2006",6.08
"October","2006",6.05
"November","2006",5.96
"December","2006",5.88
"January","2007",5.965
"February","2007",6.02
"March","2007",5.88
"April","2007",5.88
"May","2007",5.97
"June","2007",6.34
